"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-18.6303755296808,0.246654618725682,-19.113809699191,-18.1469413601706,TRUE
"Relative Wealth Index",0.110119326098641,0.150279380592645,-0.184422847596114,0.404661499793397,FALSE
"Night Time Lights",-1.10875008087485,0.118035873510618,-1.34009614192908,-0.877404019820633,TRUE
"Slum Likelihood",0.0751279890104614,0.0405795031462407,-0.0044063756975327,0.154662353718455,FALSE
"Footprint Area (Mean)",-0.81276098734863,0.445109747796376,-1.68516006253543,0.0596380878381718,FALSE
"Accessibility Index",-1.40265826463422,0.192606258466092,-1.78015959457112,-1.02515693469733,TRUE
"Footprint Spacing",-0.308177787648998,0.0818430952210567,-0.468587306727736,-0.14776826857026,TRUE
"Orientation Dispersion",-0.105945337114945,0.0472111594580027,-0.198477509356879,-0.0134131648730112,TRUE
"Under 18 Population",-1.07644074323007,0.115710270934046,-1.30322870699009,-0.849652779470048,TRUE
"Built Environment Index",0.470981129765268,0.081029064449808,0.312167081681103,0.629795177849433,TRUE
"Distance to Secondary Roads",0.126603409407892,0.112052086781748,-0.0930146451620295,0.346221463977813,FALSE
"Clark Evans R Index",0.114165191864225,0.048786545196186,0.0185453203124965,0.209785063415954,TRUE
"Distance to Open Space",-0.844003940257114,0.13244214999729,-1.10358578438749,-0.584422096126742,TRUE
"Population Density",0.00545727384307788,0.0901189449030443,-0.171172612560112,0.182087160246267,FALSE
