"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-14.8518585554473,0.370139714066931,-15.5773190642664,-14.1263980466281,TRUE
"Relative Wealth Index",0.712769719989161,0.185097726817839,0.349984841805963,1.07555459817236,TRUE
"Night Time Lights",-0.592341769904189,0.131196562820875,-0.849482307928551,-0.335201231879827,TRUE
"Slum Likelihood",0.0803813278748053,0.0543604767337187,-0.0261632487057109,0.186925904455321,FALSE
"Footprint Area (Mean)",-0.210729049348873,0.0790842133403563,-0.365731259241653,-0.0557268394560925,TRUE
"Accessibility Index",0.134337041706873,0.267753682298684,-0.390450532326527,0.659124615740272,FALSE
"Footprint Spacing",-0.622693222164007,0.158471287549576,-0.933291238344867,-0.312095205983148,TRUE
"Orientation Dispersion",-0.0769474106854832,0.0528844279980309,-0.180598984904625,0.0267041635336589,FALSE
"Under 18 Population",-0.263419785847258,0.0799717391854816,-0.420161514431833,-0.106678057262684,TRUE
"Built Environment Index",0.0271519579940154,0.105995750870417,-0.180595896226282,0.234899812214312,FALSE
"Distance to Secondary Roads",-1.37895065022273,0.284156004019529,-1.93588618409183,-0.822015116353636,TRUE
"Distance to Tertiary Roads",0.560566158869269,0.216870994757761,0.135506819852682,0.985625497885856,TRUE
"Clark Evans R Index",-0.0585425757050694,0.085074108226242,-0.225284763845367,0.108199612435228,FALSE
"Distance to Open Space",-0.465687098914204,0.11158766039016,-0.684394894398003,-0.246979303430404,TRUE
"Population Density",0.144653025927672,0.136901978430541,-0.123669921208467,0.412975973063812,FALSE
