"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-16.6661010289285,0.481870139490777,-17.6105491475557,-15.7216529103013,TRUE
"Relative Wealth Index",0.0491708512790906,0.0536947074923941,-0.0560688415664148,0.154410544124596,FALSE
"Night Time Lights",-0.442555956385015,0.0852182374809559,-0.60958063267367,-0.27553128009636,TRUE
"Slum Likelihood",0.0886278420529475,0.0377722601568776,0.0145955725307901,0.162660111575105,TRUE
"Accessibility Index",0.0252297868565871,0.0472099179491833,-0.0672999520369033,0.117759525750077,FALSE
"Orientation Dispersion",0.0326852764278441,0.0561489422637642,-0.0773646281791526,0.142735181034841,FALSE
"Under 18 Population",-0.134316568311141,0.0488382345439863,-0.230037749085874,-0.0385953875364076,TRUE
"Built Environment Index",0.20294470802545,0.0533468506100144,0.0983868021411834,0.307502613909717,TRUE
"Distance to Secondary Roads",-0.0360438803803756,0.0481079135529477,-0.13033365831552,0.0582458975547683,FALSE
"Distance to Tertiary Roads",-0.0670090971356749,0.0584953436888323,-0.181657864029079,0.0476396697577286,FALSE
"Clark Evans R Index",-0.198984873675185,0.0592335421499748,-0.315080482965871,-0.0828892643844991,TRUE
"Distance to Open Space",-0.702116132137672,0.0752393855148753,-0.849582617965752,-0.554649646309591,TRUE
"Population Density",0.070045493600662,0.0257235068674,0.0196283465844892,0.120462640616835,TRUE
