"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-14.9088469842356,0.266253915023476,-15.4306950684244,-14.3869989000468,TRUE
"Relative Wealth Index",0.0815529367087795,0.0865113695333167,-0.088006231829757,0.251112105247316,FALSE
"Night Time Lights",0.209662853301373,0.0860339149337024,0.041039478582334,0.378286228020413,TRUE
"Slum Likelihood",0.175318647550269,0.0434808010888734,0.0900978433971271,0.260539451703411,TRUE
"Footprint Area (Mean)",-1.75093919707734,0.241587888156002,-2.22444275696419,-1.27743563719049,TRUE
"Accessibility Index",-0.336375298243402,0.200263177124743,-0.728883912837464,0.0561333163506604,FALSE
"Footprint Spacing",-0.37867784236813,0.144403243238855,-0.661702998367064,-0.0956526863691965,TRUE
"Orientation Dispersion",0.0591590185995644,0.055843577506657,-0.0502923820813543,0.168610419280483,FALSE
"Under 18 Population",-0.257735485675676,0.0614134876136119,-0.378103709563352,-0.137367261788,TRUE
"Built Environment Index",-0.240160316009321,0.101932835520399,-0.439945002471348,-0.0403756295472944,TRUE
"Distance to Secondary Roads",-0.104053175975128,0.137368466898155,-0.373290423706996,0.165184071756739,FALSE
"Distance to Tertiary Roads",-0.410411530287546,0.164328041808741,-0.73248857388267,-0.0883344866924224,TRUE
"Clark Evans R Index",0.153017570705625,0.0715703557550171,0.0127422510650727,0.293292890346178,TRUE
"Distance to Open Space",-0.114659956891841,0.0597108774653194,-0.231691126209151,0.00237121242546918,FALSE
"Population Density",0.377665882521173,0.0512406875285718,0.277235980422101,0.478095784620244,TRUE
