"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-16.4290410504753,0.276622946544198,-16.9712120629993,-15.8868700379513,TRUE
"Relative Wealth Index",0.43222668469695,0.10044130400366,0.235365346289538,0.629088023104362,TRUE
"Night Time Lights",-0.729193004230869,0.0900048350715121,-0.9055992394055,-0.552786769056238,TRUE
"Slum Likelihood",0.381468963240336,0.0628203535039682,0.258343332876484,0.504594593604188,TRUE
"Accessibility Index",-1.01476089640568,0.126812026324088,-1.26330790080743,-0.766213892003918,TRUE
"Footprint Spacing",-0.325770867064374,0.0481320721775279,-0.420107995033611,-0.231433739095137,TRUE
"Orientation Dispersion",0.023581619792916,0.0309234942031441,-0.0370273151213795,0.0841905547072116,FALSE
"Under 18 Population",-0.782596047284437,0.0602987642008843,-0.900779453430443,-0.66441264113843,TRUE
"Built Environment Index",-0.331143806921661,0.0574676329523011,-0.443778297784939,-0.218509316058384,TRUE
"Distance to Secondary Roads",-0.268764024738756,0.163145090768024,-0.588522526898601,0.0509944774210883,FALSE
"Distance to Tertiary Roads",-0.351169397811949,0.0801515577411395,-0.508263564289365,-0.194075231334533,TRUE
"Clark Evans R Index",0.0774172062495008,0.0256639671585978,0.0271167549182305,0.127717657580771,TRUE
"Population Density",0.240965232787114,0.0412897892450744,0.160038732937519,0.321891732636709,TRUE
