"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-15.7939558003988,0.338863689058677,-16.4581164268797,-15.129795173918,TRUE
"Relative Wealth Index",-0.37430951128428,0.0900923649259316,-0.550887301889599,-0.197731720678962,TRUE
"Night Time Lights",-0.396090135535622,0.140035326023423,-0.670554331211255,-0.12162593985999,TRUE
"Slum Likelihood",-0.287105200444435,0.101582267824011,-0.486202786924582,-0.0880076139642874,TRUE
"Footprint Area (Mean)",-0.894226612042275,0.461797212311949,-1.79933251668557,0.0108792926010182,FALSE
"Accessibility Index",-0.209352492278231,0.141857911810975,-0.487388890457586,0.068683905901124,FALSE
"Footprint Spacing",-1.47661503320374,0.305725360514734,-2.07582572920543,-0.877404337202041,TRUE
"Orientation Dispersion",-0.0455578781112161,0.0751660572408207,-0.192880643220213,0.10176488699778,FALSE
"Under 18 Population",-0.266533989044883,0.0773561760657499,-0.418149308174268,-0.114918669915498,TRUE
"Built Environment Index",0.634391562621982,0.102893984124932,0.432723059433099,0.836060065810865,TRUE
"Distance to Secondary Roads",0.475314605354235,0.0794005737938974,0.319692340306052,0.630936870402418,TRUE
"Distance to Tertiary Roads",-0.180311748332824,0.112896135732527,-0.401584108448101,0.0409606117824526,FALSE
"Clark Evans R Index",-0.0401912020605122,0.114166440382125,-0.263953313539361,0.183570909418337,FALSE
"Distance to Open Space",-0.751725299460019,0.123161599802812,-0.993117599445445,-0.510332999474594,TRUE
"Population Density",-0.015298008495936,0.0623825855513849,-0.137565629486538,0.106969612494666,FALSE
