"Predictor","Coefficient","Std.Error","CI.Lower","CI.Upper","Significant"
"Intercept",-16.1695388789779,0.334033348480044,-16.8242322116341,-15.5148455463217,TRUE
"Relative Wealth Index",0.516277888364824,0.118446155867891,0.28412768875654,0.748428087973109,TRUE
"Night Time Lights",-0.082984728247943,0.116795236044212,-0.311899184460453,0.145929727964567,FALSE
"Slum Likelihood",0.0420247974958005,0.0275184592207588,-0.0119103914869209,0.0959599864785219,FALSE
"Accessibility Index",0.0316870995920801,0.130936318791479,-0.224943369507474,0.288317568691634,FALSE
"Footprint Spacing",-0.543058987312722,0.108633285090057,-0.755976313611505,-0.330141661013938,TRUE
"Orientation Dispersion",0.0777268175308244,0.0504223746737322,-0.0210992208446753,0.176552855906324,FALSE
"Under 18 Population",-0.317853229604839,0.0646039585415472,-0.44447466160499,-0.191231797604688,TRUE
"Built Environment Index",-0.152401667004877,0.0851614250657127,-0.319314993005781,0.0145116589960263,FALSE
"Distance to Secondary Roads",-0.182506669105711,0.0855490137076049,-0.35017965488554,-0.0148336833258819,TRUE
"Distance to Tertiary Roads",0.314151988754676,0.0631693281766398,0.190342380600871,0.437961596908481,TRUE
"Clark Evans R Index",0.0581506020997031,0.0644594597918507,-0.068187617555232,0.184488821754638,FALSE
"Distance to Open Space",-0.503637250901605,0.0818205800260916,-0.664002640946922,-0.343271860856288,TRUE
"Population Density",0.388548954222874,0.061240192668859,0.268520382185616,0.508577526260131,TRUE
