Predictor,Coefficient,Std.Error,CI.Lower,CI.Upper,Significant
Intercept,-15.0478,0.1784,-15.3976,-14.6981,***
Relative Wealth Index,0.6491,0.125,0.4041,0.8942,***
Night Time Lights,-0.418,0.123,-0.6592,-0.1769,***
Slum Likelihood,0.249,0.0813,0.0896,0.4084,***
Footprint Area (Mean),-0.7989,0.2437,-1.2765,-0.3212,***
Accessibility Index,0.312,0.1104,0.0956,0.5283,***
Footprint Spacing,-0.0916,0.1447,-0.3751,0.192,
Orientation Dispersion,-0.1397,0.0444,-0.2267,-0.0526,***
Under 18 Population,-0.2958,0.0945,-0.4811,-0.1106,***
Built Environment Index,0.5978,0.1152,0.3721,0.8235,***
Distance to Secondary Roads,0.1546,0.1287,-0.0978,0.4069,
Distance to Tertiary Roads,0.066,0.094,-0.1183,0.2503,
Clark Evans R Index,-0.1765,0.0959,-0.3644,0.0114,
Distance to Open Space,-0.9493,0.1419,-1.2273,-0.6712,***
Population Density,0.1336,0.0632,0.0097,0.2574,***
